CATEGORY	TOKENS	NUM_WORDS	NUM_CAPITALS	NUM_PUNCTUATIONS
b	BES retail clients ' exposure to holding company debt cut to 651 mln euros	14	3	1
e	Brittny Gastineau 's friend reveals 'scared ' model was n't going to report assault as ...	16	2	7
e	COLUMN-At Aereo arguments , old-school v. new technology : Frankel	10	9	5
b	Cynk Surges 36000 % as Buzz Builds for 1-Employee Company	10	6	2
e	Wu-Tang Clan-affiliated rapper Andre Johnson cut off penis then attempted suicide	11	5	2
t	Apple to offer free refunds if you 've been stung by in-app purchases	13	1	2
m	How Healthy Is Your County ? ( California 's Healthiest Is Marin )	13	9	4
e	James Franco Calls Times Theater Critic A 'Little Bitch '	10	9	2
b	UPDATE 2-Alcatel-Lucent cuts Q1 loss , pursues turnaround	8	9	3
b	US Stocks Gain ; Europe Equities Rise , Euro Drops on ECB Bets	13	13	2
b	US/Bund yield gap widest since 1999 as economies , c.banks diverge	11	3	3
b	Fitch Rates New Zealand 's TSB Bank ' A-'/STABLE	9	15	5
b	FOREX-Dollar falls on strong euro zone data despite positive US signs	11	8	1
t	Microsoft ends flirtation with Hollywood and original shows : source	10	2	1
t	UPDATE 1-Daimler and Nissan approve joint Mexico production -sources	9	9	2
e	Ellen DeGeneres makes $ 15 million in profit after selling LA mansion for ...	14	5	4
t	Nasa 's ant-like 'swarmies ' will scour hostile planets for water and rocket fuel	14	1	4
e	Lindsay Lohan 's Words For The Person Who Leaked Her 'Sex List ' ( VIDEO )	16	16	5
e	Garth Ancier , David Neuman And Gary Goddard Accused Of Sexual Abuse In ...	14	12	4
t	Super Mario 's New Benz Ca n't Spark Sales of Wii U Console	13	10	2
b	Burger King Looks to Ride Coffee Boom , Save on Taxes by Acquiring Tim Hortons	15	11	1
b	RPT-Fitch Assigns Phoenix Park CLO Limited Expected Ratings	8	13	1
b	GM Criminal Probe of Recalls Seen Complicating Barra Efforts ( 4 )	12	9	2
t	Softbank 's Pitch to Regulators Paints False Picture of US Wireless	11	9	1
e	Jesse Helt , 22 , originally from Oregon , accepted the Video of the Year Award on ...	18	6	6
b	China Blocks European Shipping Pact , Sending Maersk Down	9	8	1
b	UPDATE 2-Hotel chain La Quinta makes subdued debut in crowded IPO market	12	12	1
b	Deal over pensions close in Detroit bankruptcy -pension official	9	2	1
b	Seoul stocks edge lower on Hyundai earnings	7	2	0
b	Goldman 's Buy-China Call Has History on Its Side	9	8	2
b	Zynga Lures Best Buy 's Lee to CFO Role Amid Turnaround Effort	12	12	1
m	Alzheimer 's rates in richer countries are FALLING - but increasing in poorer areas	14	8	2
m	Whooping Cough Epidemic in California as Cases Surge	8	6	0
b	Draghi Signals ECB Action as Inflation Expectations Slide	8	9	0
b	China April fiscal revenues up 9.2 pct yr/yr	8	2	2
e	For the man who has everything ! Kim Kardashian 'bought Kanye West $ 20 ...	15	5	6
b	PRECIOUS-Gold up about 1 pct after disappointing US jobs data	10	11	1
b	Soybeans Slide for Seventh Session on Harvest Prospects	8	6	0
m	FDA plans to limit salt allowed in processed foods as Americans consume one ...	14	4	3
e	'Veronica Mars ' Was Originally A Boy , Says Creator Rob Thomas	12	10	3
t	Google Buys Drone-Maker For Supposedly Non-Evil Reasons	7	9	2
b	UPDATE 4-US grounds entire F-35 fleet pending engine inspections	9	9	2
b	Cabsplaining : A London Black Car Driver on the Uber Protest	11	8	1
b	Fed could fall behind the curve , Bullard warns	9	2	1
b	Encana to Sell Jonah Field Assets to TPG for $ 1.8 Billion ( 1 )	15	9	4
e	First-Borns and Rebirth : My Own and All of Us , Facing Passover	13	9	3
e	Leonardo DiCaprio Adds Steve Jobs Role To Pile Of Potential Movies	11	12	0
m	The college soccer player , 20 , who is allergic to her own SWEAT	14	6	2
b	7 Companies That Are n't Waiting For Congress To Raise The Minimum Wage	13	11	1
m	The DNA test that can tell if prostate cancer will return in patients who have ...	16	4	3
t	Neil deGrasse Tyson Blasts Creationism In New 'Cosmos ' Episode ( VIDEO )	13	14	4
t	Oracle Can Pursue Claim That Google Copied Java , Court Says ( 3 )	14	10	3
b	Alibaba Group seeking US listing in Q3 - sources	9	5	1
e	James Franco and Chris O'Dowd win rave reviews for Of Mice And Men	13	9	1
e	'Big Bang Theory ' Contract Negotiations Have Officially Delayed Season 8	11	9	2
b	Espirito Santo to Raise Capital After 3.6 Billion-Euro Loss	9	8	2
b	Fink Says Does n't Believe BlackRock Harmed by High-Speed Trading	10	10	2
e	Chrissy Teigen puts on a side show as she arrives at Met Gala	13	4	0
b	Yellen Assertion of No Rate Change Doubted as Yields Rise ( 1 )	13	8	2
b	Tiffany Profit Forecast Trails Estimates as Spending Rises	8	7	0
b	Index-Linked Gilts Rise as Gap Between Inflation Gauges Widens	9	9	1
b	Norfolk Southern profit falls 18 percent on lower coal shipments	10	2	0
e	Orlando Bloom and Selena Gomez are caught together on night out in L.A	13	6	1
e	HGTV cancels home-flipping show before it even airs after twin hosts are ...	13	4	4
b	Jack Ma Emerges as China 's Richest Man Before Alibaba IPO	11	11	1
e	Kendall Jenner swaps satin couture for leather pants the day after the Met Gala	14	4	0
b	Euro Inflation at Lowest in Over 4 Years Misses Estimates	10	7	0
b	FOREX-Dollar strength ebbs , threats of ECB action keep euro subdued	11	9	2
b	Lukoil Starts Iraq Oilfield as Output Reaches 35-Year High ( 1 )	12	8	3
e	Job market for college grads better but still weak	9	1	0
t	GM Canceled Ignition-Switch Fix in 2005 Due to Costs	9	8	1
b	All out of dough : Sbarro Pizza files for bankruptcy for the second time in three ...	17	3	4
e	Every Ridiculous Moment Of 'Sharknado 2 ' In Two Minutes	10	8	2
b	Economists Rip Apart FT 's Piketty Takedown	7	7	1
b	Dollar Rises to Highest in 3 Weeks on Yellen Comments	10	6	0
b	If You Plan on Traveling for the 4th , You Should Take a Look at Gas Prices ...	18	10	4
e	Shaquille O'Neal under investigation for 'assault ' on TV co-worker	10	5	4
t	Newly discovered planet on outskirts of the solar system nicknamed Biden after ...	13	2	3
t	Google 's Stake in $ 2 Billion Apple-Samsung Trial Revealed ( 1 )	13	7	5
b	UPDATE 2-Obama-era trade law survives Chinese appeal at WTO	9	11	2
e	Cynthia McFadden Departs ABC News For NBC News	8	13	0
m	Sierra Leone Is New Epicenter of Ebola Outbreak , Aid Group Says	12	10	1
b	Barclays Investment Bank Cuts Mark Europeans ' Global Retreat	9	8	1
b	US Mortgage Rates Fall With 30-Year at Two-Month Low of 4.27 %	12	10	4
b	European shares steady ; all eyes on ECB	8	4	1
b	ADM Buys Wild Flavors for $ 3 Billion to Boost Ingredients	11	9	1
b	RPT-Fitch Affirms Danske Bank Category C Covered Bonds at 'AAA ' , Outlook ...	14	15	7
b	Barclays shares fall after New York lawsuit	7	3	0
t	WRAPUP 1-Federal prosecutors open criminal probe of GM recall -source	10	9	2
m	UPDATE 1-FDA warns common uterine fibroid surgery can spread undetected ...	11	9	4
b	JPMorgan CEO Jamie Dimon reveals he has throat cancer	9	8	0
b	Microsoft 3Q earnings beat Street expectations	6	3	0
b	Two Arrested After Alleged Insider Trading on Australia Data ( 2 )	12	8	2
b	Samsung Elec says third quarter handset , tablet shipments to rise 10 percent vs ...	15	2	4
b	China expresses 'strong dissatisfaction ' with US solar tariff	9	3	2
t	Musk Plans Tesla Patent Move After Hint of Sharing With Rivals	11	10	0
e	UPDATE 2-Actor George Clooney slams UK story about his future marriage	11	11	1
b	UPDATE 1-Virgin America rated best in US airline quality -study	10	10	2
t	Climate Change Chatter : Science and Politics	7	5	1
t	UPDATE 2-US FCC looking into slow Internet download speeds	9	12	1
e	'As funny as a liver transplant ! ' Melissa McCarthy 's comedy Tammy is slammed ...	16	5	7
e	Beyonce And Jay Z Open On The Run Tour With Impressive 42-Song Set	13	13	1
t	Neil DeGrasse Tyson : Media Should Stop Giving Space To Climate Change And ...	14	13	4
e	Billboard Music Awards 2014 : Stars Heat Up The Red Carpet	11	9	1
t	GM Sales Up Despite Recalling Nearly 29 Million Cars This Year	11	11	0
e	Hathway , Stewart in drag in music video	8	2	1
e	Here 's The First 'Fault In Our Stars ' Clip	10	8	3
m	' I 've got it ' : Must-watch video that shows proud 2-year-old walk for first time with ...	19	2	10
t	Is Apple Paying Too Much for Beats ?	8	6	1
t	Google Acquires Drone Maker Titan Aerospace to Spread Web	9	8	0
b	Cargill to Close Wisconsin Plant as Cattle Supply Shrinks	9	7	0
e	Frankie Knuckles Dead : 'Godfather ' Of House Music Dies At 59 In Chicago	14	11	3
b	Nikkei rises to 1-1/2-week high on US optimism ; BOJ gets muted reaction	13	6	4
b	Ahead of the Bell : US construction spending	8	4	1
b	Brent Oil Drops as Libyan Rebels Agree to Open Ports ; WTI Falls	13	12	1
b	What to Know About Alibaba Before Its Giant IPO	9	10	0
b	As Data Breach Woes Continue , Target 's CEO Resigns	10	10	2
b	Sharp Expects Loss at Solar Unit on Drop in Overseas Projects	11	8	0
b	Yahoo Says Workforce 37 Percent Female in First Diversity Report	10	8	0
b	AbbVie forced to retract comments in Shire takeover fight	9	3	0
e	Did Miley Cyrus Tattoo Her Inner Lip With A Sad Yellow Kitty ?	13	12	1
b	HUFFPOLLSTER : Uninsured Rate Hits 6-Year Low	7	17	2
b	Lewis Wants to Open the Doors Wall Street Locks : Opening Line	12	9	1
t	Snapchat Is n't Standing Up For Your Privacy : Report	10	8	2
b	Nationwide , the jobless rate stood at 6.7 percent in February .	12	2	3
t	Google gives Gmail a security boost in bid to stop spy snooping	12	2	0
e	No rest for the wicked ! Kate Hudson jets out of Los Angeles ... just one day after ...	19	5	7
b	Yellen Issues New Warning About Housing	6	6	0
b	Thomas Piketty Is No . 1 On Amazon Right Now	10	8	1
b	US STOCKS-Dow , S & P edge up ; revised ISM reportedly more bullish	14	14	4
b	German Business Confidence Unexpectedly Rises in Growth Sign ( 1 )	11	7	2
e	Starbucks Says Mobile Payments Gain Amid Growth Past Coffee ( 3 )	12	9	2
b	Boeing Oversight of Dreamliner Contractors Faulted by FAA	8	8	0
b	UPDATE 1-Citi to settle legacy securities claims , incur $ 100 mln charge	13	7	3
m	First U.S. MERS Patient Will Be Isolated At Home After Hospital Discharge	12	16	2
b	UPDATE 2-Egypt to raise fuel prices by up to 78 percent from midnight -source	14	7	2
b	UPDATE 1-EU urges Russia to weigh improved offer for Ukraine gas	11	10	1
b	UPDATE 2-Brent holds steady near $ 108 ; Chinese trade data supports	12	8	3
b	German Unemployment Falls a Fifth Month as Economy Grows	9	7	0
e	Piers Morgan Bids Farewell To His Show	7	7	0
e	First Full '24 : Live Another Day ' Trailer Is Full Of Guns , Explosions , And Drama	18	13	5
b	BofA Seen Asking Fed for Dividends Over Buybacks After Blunder	10	10	0
b	Air Products appoints new CEO ; shares at life-high	9	5	2
b	UPDATE 1-US passenger jet nearly collided with drone in March -FAA	11	12	2
b	REFILE-UPDATE 3-Priceline adds OpenTable to its menu for $ 2.6 bln	11	15	4
m	Ministers blew £650MILLION on useless anti-flu drugs	7	8	1
t	Chrysler Says Revamped Sedan to Be in US Dealerships in May	11	9	0
e	Kim Kardashian advises Khloe to avoid French Montana 's 'family drama '	12	5	3
b	Crumbs Surges After CNBC Says Lemonis Considering Rescue	8	11	0
e	'Game Of Thrones ' Season 4 Episode 5 Recap : 'First Of His Name '	15	10	5
e	Sandra Bullock 'came face-to-face with stalker ' after she found him stood outside ...	14	2	7
b	Ukraine crisis worries hammer German investor morale	7	2	0
b	UPDATE 3-Marathon Petroleum to buy Hess 's retail business for $ 2.87 bln	13	9	4
b	Ousted CEO Charney Seeks to Build American Apparel Stake	9	10	0
b	Ford Profit Misses on Growing Recalls as Product Costs Rise ( 2 )	13	8	2
b	US STOCKS-Wall St to open flat , quarter set to end positive	12	10	2
t	UPDATE 1-Apple , Google settle smartphone patent litigation	8	8	2
m	Saudi Arabia reports 1 more death from MERS virus	9	6	0
b	Pound Strengthens Fifth Day Versus Euro on BOE Rate Speculation	10	11	0
b	TIMELINE-The FX `` fixing '' scandal	6	11	3
b	UPDATE 5-Investors punish Erste for new emerging Europe hit	9	9	1
b	UPDATE 1-US to sue Citigroup over faulty mortgage bonds -sources	10	9	2
e	Marion Cotillard wears only one Chopard earring with her plunging Dior at Met ...	14	5	3
e	6 Things You Missed By Not Watching 2014 's ACM Awards	11	10	1
t	Facebook Told Not To Mess With WhatsApp Privacy Settings	9	10	0
e	Kate O'Mara Dead : Former 'Dynasty ' Star Dies At 74	11	9	4
b	Euro zone inflation seen well below 2 pct in 2014 , 15 -Nowotny	13	2	2
b	Barnes & Noble Splitting Retail And Nook Media Businesses In Two	11	10	1
m	Gay dads who adopt children think like a mother AND a father , brain scans reveal	16	4	1
b	GLOBAL MARKETS-Tech stocks sink Wall Street ; US bonds rally	10	18	2
m	Obama Overhaul Has Health Care Dominating '14 Rally : Muni Credit	11	9	2
b	UPDATE 1-Roaring UK manufacturing points to broadening recovery	8	9	1
b	UK sells 4.2 bln stg of shares in Lloyds	9	3	1
b	UPDATE 1-Ukraine crisis worries hammer German investor morale	8	8	1
e	Lucasfilm Announces Cast of 'Star Wars ' Film Set for 2015 ( 1 )	14	7	4
e	Harrison Ford on the mend after he was crushed under the weight of the ...	15	2	3
e	'Hedwig And The Angry Inch ' On Broadway Is Going To Be Amazing	13	12	2
t	UPDATE 3-GM hires law firms it works with to probe recall response	12	8	1
m	New Research Finds the More Foreclosures , the More Suicides	10	7	1
b	American Spurs Airline Shares Higher on Raised Margins	8	7	0
b	UPDATE 3-Qualcomm 's quarterly revenue growth dwindles , shares fall	10	7	3
b	UPDATE 2-TrueCar.com shares rise about 11 pct in debut	9	8	2
e	Paul Stanley Claims Some KISS Bandmates Were Anti-Semitic	8	12	1
b	Europe Factors to Watch-Stocks set to drop again ; Ukraine eyed	11	5	2
b	Italy - Factors to watch on March 20	8	3	1
b	Barclays CEO Vows to Investigate 'Serious Charges ' on Dark Pool	11	10	2
b	CORRECTED-Men 's Wearhouse seals $ 1.8 billion deal to buy Jos . A . Bank	15	14	6
m	UPDATE 3-State high court rules NYC ban on large sodas is illegal	12	10	1
b	US construction spending barely up as homebuilding tumbles	8	2	0
b	Euro Holds Losses Before Inflation Data Amid ECB Easing Bets	10	12	0
e	Beyonce And Blake Lively Unite At Chime For Change Event	10	10	0
t	General Motors CEO Mary Barra weeps as she meets relatives of those killed in ...	15	7	3
t	Facebook deletes photos of slain rhinos , leopards and lions killed by Texas ...	14	2	4
b	Teen Accused Of Peeing In Reservoir 'Did n't Piss In The Fu -- ing Water '	16	12	5
b	UPDATE 1-Toyota to launch China-made Corolla , Levin hybrids in 2015	11	10	3
b	Swiss stocks - Factors to watch on May 20	9	3	1
b	Pinterest Is Now Worth A Ridiculous Amount Of Money	9	9	0
t	Twitter forced to shut down Tweetdeck app amid major security alert	11	2	0
e	Katie Holmes ' Disney-style yellow Marchesa dress falls flat at Met Gala	12	6	2
m	Working-age men in New Mexico are most likely to drink themselves to death ...	14	3	4
b	GLOBAL MARKETS-Stocks rise on US data , China ; European bond yields down	13	18	3
b	Here 's How To Get More Time To File Your Tax Return	12	11	1
e	Kanye Raps About How Awesome Kim Is On Future 's ' I Won '	14	11	3
e	Don Draper shows his tender side and shares a dance with Peggy on the latest ...	16	3	3
b	US STOCKS SNAPSHOT-S & P 500 , Nasdaq rise after strong results	12	19	3
b	Officials investigating 'near miss ' between Alaska Airlines jet carrying 148 people ...	13	3	5
b	Hong Kong Stocks Heading for Six-Week Low After Tencent Drops	10	10	1
b	US STOCKS-Intel lifts Wall St , but indexes set for lower week	12	11	2
m	Could injections of blood help fight Alzheimer 's ? 'Dracula ' treatment boosts brain ...	15	3	7
e	How daughter Mick Jagger once disowned saved him in his darkest hour	12	3	0
e	Sandra Bullock Faced Stalker In Home Invasion , Search Warrant Reportedly ...	12	10	4
t	Apple launches new Macbook Air as claims production of iWatch has started	12	4	0
b	Obama 's EPA 2 , Agency Opponents 0 at Supreme Court	11	8	2
e	5 Must-See Movies of the Summer	6	4	1
b	WRAPUP 1-ECB says will prime QE , but far from pulling trigger yet	13	11	2
m	Scientists Clone Stem Cells From Two Adult Men In Major Breakthrough	11	11	0
m	UPDATE 1-Durata 's anti-infective drug shows efficacy , safety -FDA panel	11	10	5
b	NEW YORK ( AP ) — Taco Bell is taking another jab at McDonald 's in a new ad for ...	21	13	6
b	UPDATE 3-Fiat Chrysler denies report of merger talks with VW	10	10	1
e	Angelina Jolie opens up in rare interview about Brad , babies , and her rebellious ...	16	3	5
e	Woody Allen casts Emma Stone in next film before Magic In The Moonlight is out	15	8	0
e	Kourtney Kardashian dotes on son Mason during family outing as she leads the ...	14	3	3
b	UPDATE 1-Retailer Michaels Stores confirms payment card data breach	9	9	1
b	FOREX-Dollar gains after ECB comments , US consumer confidence data	10	11	2
e	Selena Gomez scores favourite female singer at the Nickelodeon Kids ' Choice ...	13	5	4
t	US FCC names heads of Comcast/TWC , AT & T/DirecTV deal reviews	12	15	4
e	Katie Holmes pulls on her sexiest mini dress as Tom Cruise moves on	13	4	0
e	Ending their feud ? Kim Kardashian enjoys a night out with 'fake friend ' Katie ...	16	4	6
b	ATK to merge with Orbital after divesting sports gun unit	10	4	0
e	Mila Kunis Hits The Red Carpet With Channing Tatum After Pregnancy News	12	12	0
m	Salmonella Fears Prompt Recall Of Certain Chia Powder-Containing Products	9	10	1
m	Boston 's former mayor Thomas Menino diagnosed with advanced cancer	10	3	1
b	TreeHouse Foods to buy Flagstone Foods for $ 860 mln	10	5	1
e	Christie Dancing With Fallon Jokes He Could Beat Clinton	9	9	0
b	UBS says cooperating with US inquiries about dark pools	9	5	0
b	CORRECTED-UPDATE 2-BofA suspends buyback , div increase after capital ...	10	17	6
e	Hilary Duff Promotes New Single 'Chasing The Sun ' With Airplane Message ...	13	11	5
e	'Viva San Fermin ! ' : Thousands of revellers kick off iconic Spanish bull running ...	16	5	7
e	Million Ways funny but not memorable	6	2	0
b	PRECIOUS-Gold eases on interest rate fears ; palladium near 13-yr high	11	9	3
b	Yellen Favors Macroprudential Approach to Stability	6	5	0
b	GLOBAL MARKETS-Asian shares at 1-year high , bonds fly high on ECB hopes	13	17	3
e	Mila Kunis ' with Ashton Kutcher on Two And A Half Men , as they 're 'expecting ...	18	9	7
t	Your First Tweet Was Probably Better Than These Celebrities '	10	9	1
b	UPDATE 1-Sandwich chain Quiznos files for bankruptcy protection	8	8	1
b	GM CEO : 'Terrible Things Happened '	7	8	3
b	WRAPUP 1-Fresh objects seen in new Malaysia jet search area	10	8	1
e	Kim Kardashian shares flashback photo of herself as a baby	10	2	0
e	Happy 450th Birthday to William Shakespeare : Great Ways to Celebrate	11	7	1
e	'Foxcatcher ' premieres in Cannes amid Oscar buzz	8	3	2
b	RPT -- US Fed to release results of financial industry health check	12	6	2
t	UPDATE 1-Google 's YouTube to buy streaming-video site Twitch for $ 1 bln ...	14	10	7
b	Wild 's Natural Flavors Worth $ 3 Billion In Archer Daniels Midland Deal	13	10	2
b	GLOBAL MARKETS-Asian shares hit 6-1/2 year high , dollar steady before Fed	12	15	4
b	Lindt buys No.3 slot in US market with candy maker Russell Stover	12	6	1
t	U.S. Takes Down Crime Ring That Infected Over 500000 Computers	10	10	2
e	Zac Efron met by hordes of teenage fans as he arrives at BBC Radio 1	15	6	0
b	Evans Sees Fed Raising Interest Rates in Second Half of 2015 ( 1 )	14	8	2
b	UPDATE 3-Tiffany 's US sales on the mend ; shares rise	11	9	3
b	S.Korean won falls ahead of Yellen testimony , stocks rise	10	3	2
m	Pain killer prescription practices vary widely among US states- study	10	3	1
b	UPDATE 2-Dollar General CEO to retire , Icahn 's proposed merger in doubt	13	12	3
b	UPDATE 4-France tells GE and Siemens : Alstom proposals still not good enough	13	11	2
b	Korea 's Won Touches One-Week High as Yellen Backs US Recovery	11	11	2
b	Few funds ready to follow Stanford 's lead on fossil fuel stocks	12	2	1
e	Bryan Singer brands sex abuse allegations ' a sick twisted shake down ' as he ...	16	2	5
e	Justin Bieber Compares Himself To James Dean , Should Have Probably ...	12	10	4
b	Boeing 's quarterly revenue rises 8 pct	7	1	1
e	Kim Kardashian Celebrates Bachelorette Party In Glittering Minidress Inside The ...	11	10	3
t	Hundreds of 'toxic ' methane vents discovered in the Atlantic 's depths - and they ...	16	2	7
e	Zac Efron Attacked In LA 's Skid Row	8	8	1
m	To Fight Dengue Fever , Brazil Turns to Genetically Modified Mosquitoes	11	9	1
e	One Direction fans and parents are dumping tickets for upcoming gigs and ...	13	2	3
e	'Veronica Mars ' Fans Offered Refunds After Download Issues	9	8	2
e	Welcome To The Hotel Andersonia	5	5	0
b	Procter & Gamble third-quarter profit rises	6	2	2
e	'We 've chosen conscious uncoupling ' : Colin Firth drops out of Paddington movie ...	15	4	7
t	RPT-Samsung Elec replaces mobile design head	6	5	1
b	PRECIOUS-Gold drops 2 pct on fund selling , US rate hike fears	12	11	2
t	Aereo , Shire , Lenovo , Tilted Kilt : Intellectual Property	11	7	4
e	Selena Gomez films Adidas advert after reuniting with Justin Bieber	10	5	0
e	Animal Welfare Activists Picket Liam Neeson 's NYC Home Over Carriage Horse ...	13	13	4
b	Economist Thomas Piketty 'got his sums wrong ' in bestselling book	11	3	2
b	UPDATE 1-Puerto Rico governor offers debt restructuring for public corporations	10	8	1
e	Girls Gone Wild 's Joe Francis jailed and ordered to undertake anger ...	13	5	4
b	ADP Says Companies in US Add Most Workers in Five Months ( 1 )	14	12	2
e	Cameron Diaz Opens Up To Esquire About Getting Naked For 'Sex Tape '	13	12	2
b	The Underwhelming Case Against the IMF 's Christine Lagarde	9	9	1
e	Mom : 3-Year-Old Was Forced To Urinate In Seat On Plane	11	11	3
b	US STOCKS-Futures flat with Dow , S & P at record levels	12	12	3
m	FDA Permits Marketing Of First Device To Prevent Migraines	9	11	0
